47,"2017-08-21 15:47:00+00:00",<129074726.697764,-78991705.4947959,2689.48613322154>,<0,0,0>,<128762872.799437,-78789454.3171645,4512.02785062045>
48,"2017-08-21 15:48:00+00:00",<129075631.011078,-78990187.0138541,2689.3479719013>,<0,0,0>,<128763740.575832,-78787987.6853276,4517.7564810589>
49,"2017-08-21 15:49:00+00:00",<129076535.306489,-78988668.5219527,2689.20981084183>,<0,0,0>,<128764608.343058,-78786521.0481977,4523.48505980149>
50,"2017-08-21 15:50:00+00:00",<129077439.583998,-78987150.0190916,2689.07165003941>,<0,0,0>,<128765476.101115,-78785054.4057732,4529.21358663961>
51,"2017-08-21 15:51:00+00:00",<129078343.843603,-78985631.5052712,2688.9334895052>,<0,0,0>,<128766343.850005,-78783587.758053,4534.94206144288>
52,"2017-08-21 15:52:00+00:00",<129079248.085306,-78984112.9804917,2688.79532922804>,<0,0,0>,<128767211.589727,-78782121.1050356,4540.67048402876>
53,"2017-08-21 15:53:00+00:00",<129080152.309106,-78982594.4447533,2688.65716922283>,<0,0,0>,<128768079.320284,-78780654.4467198,4546.39885425568>
54,"2017-08-21 15:54:00+00:00",<129081056.515002,-78981075.8980561,2688.51900946721>,<0,0,0>,<128768947.041675,-78779187.783104,4552.1271719262>
55,"2017-08-21 15:55:00+00:00",<129081960.702995,-78979557.3404006,2688.38084999844>,<0,0,0>,<128769814.753901,-78777721.1141869,4557.85543690622>
56,"2017-08-21 15:56:00+00:00",<129082864.873084,-78978038.7717869,2688.24269079045>,<0,0,0>,<128770682.456963,-78776254.4399673,4563.58364901692>
57,"2017-08-21 15:57:00+00:00",<129083769.025269,-78976520.1922151,2688.10453185439>,<0,0,0>,<128771550.150861,-78774787.7604436,4569.31180810183>
58,"2017-08-21 15:58:00+00:00",<129084673.159551,-78975001.6016856,2687.96637320146>,<0,0,0>,<128772417.835597,-78773321.0756146,4575.03991399705>
59,"2017-08-21 15:59:00+00:00",<129085577.275928,-78973483.0001985,2687.8282148242>,<0,0,0>,<128773285.511171,-78771854.385479,4580.76796653494>
60,"2017-08-21 16:00:00+00:00",<129086481.374402,-78971964.3877542,2687.69005672261>,<0,0,0>,<128774153.177584,-78770387.6900352,4586.49596556276>
61,"2017-08-21 16:01:00+00:00",<129087385.454971,-78970445.7643526,2687.55189890042>,<0,0,0>,<128775020.834836,-78768920.989282,4592.22391088679>
62,"2017-08-21 16:02:00+00:00",<129088289.517636,-78968927.1299943,2687.41374136135>,<0,0,0>,<128775888.482928,-78767454.283218,4597.95180238038>
63,"2017-08-21 16:03:00+00:00",<129089193.562396,-78967408.4846793,2687.27558410913>,<0,0,0>,<128776756.121862,-78765987.5718418,4603.67963985726>
64,"2017-08-21 16:04:00+00:00",<129090097.589252,-78965889.8284078,2687.13742714375>,<0,0,0>,<128777623.751637,-78764520.8551521,4609.4074231647>
65,"2017-08-21 16:05:00+00:00",<129091001.598202,-78964371.1611802,2686.9992704764>,<0,0,0>,<128778491.372254,-78763054.1331474,4615.13515213877>
66,"2017-08-21 16:06:00+00:00",<129091905.589248,-78962852.4829965,2686.86111409217>,<0,0,0>,<128779358.983714,-78761587.4058266,4620.86282660812>
