            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457987.143750000, A.D. 2017-Aug-21 15:27:00.0000,  1.287455153449195E+08, -7.881878584445716E+07,  4.397444632872939E+03,  1.446607533604172E+01,  2.444206048743092E+01,  9.549424337263801E-02,  5.035360630081222E+02,  1.509563140208478E+08, -4.243001525558697E-01,
2457987.144444444, A.D. 2017-Aug-21 15:28:00.0000,  1.287463833048477E+08, -7.881731931819546E+07,  4.403174263317138E+03,  1.446592227137135E+01,  2.444214823978782E+01,  9.549343735161742E-02,  5.035359781037744E+02,  1.509562885671647E+08, -4.241559537758757E-01,
2457987.145138889, A.D. 2017-Aug-21 15:29:00.0000,  1.287472512555923E+08, -7.881585278666794E+07,  4.408903845310211E+03,  1.446576921875601E+01,  2.444223601483112E+01,  9.549262859953878E-02,  5.035358932282859E+02,  1.509562631221334E+08, -4.240117565690259E-01,
2457987.145833333, A.D. 2017-Aug-21 15:30:00.0000,  1.287481191971542E+08, -7.881438624987324E+07,  4.414633378691971E+03,  1.446561617819054E+01,  2.444232381256278E+01,  9.549181711654064E-02,  5.035358083816567E+02,  1.509562376857539E+08, -4.238675609395841E-01,
2457987.146527778, A.D. 2017-Aug-21 15:31:00.0000,  1.287489871295339E+08, -7.881291970780998E+07,  4.420362863309681E+03,  1.446546314966976E+01,  2.444241163298476E+01,  9.549100290275270E-02,  5.035357235638864E+02,  1.509562122580260E+08, -4.237233668918186E-01,
2457987.147222222, A.D. 2017-Aug-21 15:32:00.0000,  1.287498550527324E+08, -7.881145316047682E+07,  4.426092298977077E+03,  1.446531013318851E+01,  2.444249947609907E+01,  9.549018595831171E-02,  5.035356387749748E+02,  1.509561868389498E+08, -4.235791744299950E-01,
2457987.147916667, A.D. 2017-Aug-21 15:33:00.0000,  1.287507229667502E+08, -7.880998660787238E+07,  4.431821685563773E+03,  1.446515712874163E+01,  2.444258734190764E+01,  9.548936628335269E-02,  5.035355540149214E+02,  1.509561614285251E+08, -4.234349835583736E-01,
2457987.148611111, A.D. 2017-Aug-21 15:34:00.0000,  1.287515908715881E+08, -7.880852004999535E+07,  4.437551022887230E+03,  1.446500413632393E+01,  2.444267523041244E+01,  9.548854387801065E-02,  5.035354692837261E+02,  1.509561360267517E+08, -4.232907942812376E-01,
2457987.149305556, A.D. 2017-Aug-21 15:35:00.0000,  1.287524587672468E+08, -7.880705348684429E+07,  4.443280310772359E+03,  1.446485115593026E+01,  2.444276314161546E+01,  9.548771874241702E-02,  5.035353845813885E+02,  1.509561106336297E+08, -4.231466066028362E-01,
2457987.150000000, A.D. 2017-Aug-21 15:36:00.0000,  1.287533266537270E+08, -7.880558691841790E+07,  4.449009549081326E+03,  1.446469818755543E+01,  2.444285107551865E+01,  9.548689087671036E-02,  5.035352999079080E+02,  1.509560852491589E+08, -4.230024205274567E-01,
